instruction,input,output,topic,severity
How long does postpartum bleeding last?,,"Light to moderate bleeding may continue for 4–6 weeks and should gradually decrease. Rest, use pads not tampons, and note color changes from red to pink to brown. Seek care if bleeding suddenly increases or you feel unwell.",postpartum_recovery,green
I’m soaking through one pad an hour and feel light-headed.,,"Emergency. Call 911 or your OB now. Lie down if dizzy and keep a clean pad in place. If you cannot reach help, go to the nearest emergency department.",postpartum_recovery,red
I passed a few small clots after getting up from bed.,,"Small clots can occur in the first days and often improve with rest and hydration. Monitor size and frequency. Contact your clinician if clots are larger than a golf ball, bleeding increases, or you feel faint or unwell.",postpartum_recovery,yellow
When can I take my first shower after a vaginal delivery?,,"You can usually shower within 24 hours if you feel steady. Pat the perineal area dry and change to a clean pad after. If you feel dizzy, ask someone to stand by for safety.",postpartum_recovery,green
My perineal stitches feel very sore.,,"Soreness is common early on. Use a peri bottle with warm water after the toilet, change pads often, try ice packs in the first 24 hours, and consider sitz baths after 24 hours. Call your clinician for worsening pain, fever, or foul odor.",postpartum_recovery,yellow
I have a severe headache and I’m seeing spots.,,Emergency. This can be a high blood pressure complication after delivery. Call 911 or go to the emergency department now. Sit or lie down and avoid driving yourself.,postpartum_recovery,red
Is pelvic pressure normal two weeks after birth?,,"A feeling of pressure can happen as tissues recover. Rest, avoid heavy lifting, and do gentle pelvic floor squeezes if cleared. Contact your clinician for worsening pain, bulge at the vagina, or trouble controlling urine or stool.",postpartum_recovery,yellow
When can I start light exercise after a C-section?,,"Begin short, comfortable walks in the first week if pain is controlled. Avoid heavy lifting and core strain for about 6 weeks or until your clinician clears you. Increase gradually and stop if pain or bleeding increases.",postpartum_recovery,green
My C-section incision is red and oozing.,,"This may be an infection. Contact your clinician today for assessment. Keep the area clean and dry. Seek urgent care for fever, spreading redness, severe pain, or foul drainage.",postpartum_recovery,yellow
I have chest pain and I’m short of breath.,,Emergency. Call 911 now.,postpartum_recovery,red
One calf is swollen and painful.,,Emergency. New one-sided leg swelling or pain after birth can be a blood clot. Call 911 or go to the emergency department now. Avoid massaging the leg.,postpartum_recovery,red
I’m constipated and it hurts to poop.,,"Constipation is common. Drink water, add fiber foods, and try a stool softener if your clinician agrees. Avoid straining. Contact your clinician for rectal bleeding, severe pain, or no bowel movement for several days.",postpartum_recovery,green
When is it okay to have sex again after birth?,,"Many are cleared around 6 weeks, but timing depends on healing and comfort. Use lubrication, go slowly, and discuss contraception. If you have pain, bleeding, or concerns, contact your clinician.",postpartum_recovery,green
I have a fever on day 5 after delivery.,,"Fever after the first day can signal infection. Contact your clinician promptly for guidance. Seek urgent care for high fever, severe pain, heavy bleeding, or feeling very unwell.",postpartum_recovery,red
Light pink discharge turned reddish after a busy day.,,"Activity can temporarily increase flow. Rest, hydrate, and monitor. If bleeding continues to increase, you pass large clots, or you feel dizzy, contact your clinician.",postpartum_recovery,yellow
Urination burns since yesterday.,,"This can be a urinary tract infection. Drink fluids and contact your clinician for testing. Seek urgent care for fever, back pain, or feeling very unwell.",postpartum_recovery,yellow
My hemorrhoids are painful after delivery.,,"Common and uncomfortable. Use warm sitz baths, fiber, fluids, and stool softener if advised. Topical treatments may help. Contact your clinician for severe pain or bleeding.",postpartum_recovery,green
I feel pelvic heaviness at the end of the day.,,"Supportive underwear, rest with feet up, and pelvic floor exercises can help. If you notice a bulge, urinary leakage, or worsening symptoms, schedule a check with your clinician.",postpartum_recovery,yellow
When can I drive again after a C-section?,,"Drive when you can brake suddenly without pain, are off sedating medicines, and feel alert—often around 2 weeks or as cleared by your clinician. Start with short trips and stop if painful.",postpartum_recovery,green
What contraception can I use while breastfeeding?,,"Several methods are compatible, including condoms, progestin-only options, and copper IUDs. Discuss choices with your clinician to match your goals and health. Use protection until a method is in place.",postpartum_recovery,green
My nipples are very sore while breastfeeding.,,"This is common early on. Aim for a deep latch—baby’s mouth wide and chin touching the breast. Break suction gently to unlatch, air-dry with expressed milk, and consider lanolin. Contact your clinician for fever, wedge-shaped breast pain, or flu-like symptoms.",breastfeeding,green
"I have a hard, tender breast area without fever.",,"Likely a clogged duct. Feed or pump frequently, start on the sore side, use warm compresses and gentle massage toward the nipple. If fever or worsening pain develops, contact your clinician for possible infection.",breastfeeding,yellow
I have fever and a painful red wedge on my breast.,,These are signs of mastitis. Contact your clinician today. Continue emptying the breast by feeding or pumping. Seek urgent care if you feel very unwell.,breastfeeding,red
My baby falls asleep after a few minutes at the breast.,,"Sleepy feeds are common. Try skin-to-skin, tickle feet, compress the breast to keep milk flowing, and switch sides. Track diapers and weight checks. Contact your clinician for poor intake or very few diapers.",breastfeeding,yellow
How often should I breastfeed a 1-week-old?,,Aim for about 8–12 feeds per 24 hours. Watch hunger cues rather than the clock. Expect 6+ wet diapers and several stools daily once milk is in.,breastfeeding,green
Can I take pain medicine while breastfeeding?,,"Some medicines are compatible. Use the lowest effective dose and confirm choices with your clinician or pharmacist. Avoid combinations that cause drowsiness. If unsure, ask before taking new meds.",breastfeeding,green
Pumping yields very little milk.,,"Output can vary. Pump after or between feeds, ensure a correct flange fit, relax with warm compresses, and stay hydrated. A lactation consultant can help optimize your routine.",breastfeeding,yellow
One nipple has a crack that bleeds a little.,,"Cracks need gentle care. Improve latch, briefly rest that side if needed while expressing to maintain supply, and keep the area clean and dry. Contact your clinician for signs of infection or persistent pain.",breastfeeding,yellow
Is formula okay if I can’t breastfeed enough?,,Feeding your baby and caring for yourself both matter. Combination feeding or formula alone can be healthy. Choose an iron-fortified infant formula and follow preparation guidance. Your clinician can help tailor a plan.,breastfeeding,green
How long can pumped milk sit out?,,"Freshly expressed milk is generally okay at room temperature for about 4 hours. Refrigerate as soon as possible and label containers. When in doubt, discard.",breastfeeding,green
I feel very anxious and sad two weeks after birth.,,"Many parents feel emotional swings. If sadness or anxiety lasts beyond two weeks, affects daily life, or you struggle to bond, contact your clinician for support. If you ever have thoughts of harm, seek emergency help immediately.",mental_health,yellow
I’m having thoughts of harming myself.,,"Emergency. Call 911 or your local crisis line now. You deserve immediate support and safety. If you can, ask someone to stay with you while you get help.",mental_health,red
I’m not sleeping and feel overwhelmed.,,"Sleep loss is common and exhausting. Ask for help with night feeds, consider short naps, and lower non-essential tasks. If overwhelm persists or worsens, contact your clinician—support and treatment can help.",mental_health,yellow
Is it normal to cry easily after birth?,,"Crying spells can be part of the first-week “baby blues” and usually improve. If symptoms last beyond two weeks or you feel hopeless, contact your clinician. Immediate help is needed for any thoughts of harm.",mental_health,green
I feel detached from my baby and numb.,,"These feelings can occur with postpartum depression. You are not alone. Contact your clinician soon to discuss support and treatment. If you have thoughts of harm, seek emergency help now.",mental_health,yellow
I’m having racing thoughts and can’t slow down.,,This can happen with severe anxiety. Try grounding strategies and ask a trusted person for support. Contact your clinician promptly to discuss next steps. Seek urgent help if you feel unsafe.,mental_health,yellow
Where can I find immediate mental health help?,,"If you feel unsafe or have thoughts of harm, call 911 or a crisis line right away. Otherwise, contact your clinician, local postpartum support groups, or telehealth services for counseling and follow-up.",mental_health,green
